 What is the simplest graph for message passing?	 A 1D chain.	 Message Passing, Chains
 What does an HMM model?	 Latent variable sequences	 Message Passing, HMMs
 What are the two main types of variables in an HMM?	 Hidden (latent) and observations.	 Message Passing, HMMs
 What do you compute in the posterior inference of the HMMs?	 The probability distribution of the hidden variables given all of the data.	 Message Passing, HMMs, Inference
 What is an instance of smoothing in terms of HMMs?	 Posterior inference on hidden states.	 Message Passing, HMMs, Smoothing
 What is Forward Filtering Backward Smoothing?	 A method that combines a forward and backward pass in order to obtain smoother results	 Message Passing, HMMs, Smoothing, FFBS
 What needs to be computed to apply the FFBS algorithm?	 The factors of the posterior independently.	 Message Passing, HMMs, Inference
 What are the key steps in the forwards algorithm?	 The factors of the posterior.	 Message Passing, Chains
 What is computed in the backwards pass in forward-backward algorithm?	 The backwards recursions.	 Message Passing, Chains
 What is Viterbi algorithm?	 An algorithm that finds the most likely sequence of latent states given the observations.	 Message Passing, Chains, Viterbi
 To what other graph structures are message passing algorithms extended to?	 Trees.	 Message Passing, Trees
 Which methods does belief propagation in trees build from?	 HMMs and Kalman smoothing.	 Message Passing, Trees
 What are the two key algorithms for BP in trees?	 Sum product and max product.	 Message Passing, Trees
 What does the Sum-product algorithm compute in trees?	 Marginal distributions.	 Message Passing, Trees, Sum-Product
 What does the Max-product algorithm compute in trees?	 The maximum a posteriori sequence of hidden states.	 Message Passing, Trees, Max-Product
 What is another name for directed graphical models?	 Belief networks or Bayesian networks (though they are not necessarily Bayesian).	 PGMs, Directed
 What is a DAG?	 Directed Acyclic Graph	 PGMs, Directed
 What is the key characteristic of a directed graphical model?	 It's based on a DAG, in which the edges have direction.	 PGMs, Directed
 What is meant by topological ordering in a DAG?	 Parents come before children.	 PGMs, Directed, Ordering
 What is the ordered Markov property in a DAG?	 Each node is conditionally independent of its predecessors (except its parents) given its parents.	 PGMs, Directed, Ordering
 How is the joint distribution factored in a DAG according to the ordered Markov property?	 p(x1 N) = product from i=1 to N of p(xi|x_pa(i)) where x_pa(i) represents the parents of i	 PGMs, Directed, Joint Distribution
 What is a Conditional Probability Table (CPT) ?	 A table that defines a distribution over a variable given other variables. Commonly used in discrete random variables.	 PGMs, Directed, CPT
 What is a first order Markov chain?	 Each state is only dependent on the previous state.	 PGMs, Markov Chain
 What is a second order Markov chain?	 Each state is dependent on two previous states.	 PGMs, Markov Chain
" What is the ""explaining away"" effect?"	 When observing a common child makes two parent nodes conditionally dependent, which were independent a priori	 PGMs, Directed, Explaining Away
 What is another name for the explaining away effect?	 Berkson's paradox or inter-causal reasoning	 PGMs, Directed, Explaining Away
 What are Sigmoid Belief Nets?	 Hierarchical latent variable models with binary latent variables and logistic regression latent CPDs	 PGMs, Directed, Sigmoid
 In terms of probability models, when do you have a sigmoid belief net?	 When you have binary latent variables and the latent CPDs are logistic regression models.	 PGMs, Directed, Sigmoid
 What are the key elements when describing Conditional Independece in PGMs?	 X_A || X_B | X_C	 PGMs, Directed, Conditional Independence
 What does it mean when we say that variables X_A and X_B are conditionally independent given X_C?	 Knowing X_C renders X_A and X_B unrelated.	 PGMs, Directed, Conditional Independence
 What does an I-map represent?	 A graph encoding the conditional independence statements in a distribution.	 PGMs, Directed, Conditional Independence
 What does it mean if a graph G is an I-map of a distribution p?	 I(G) ⊆ I(p), that is, all the CI statements encoded by the graph G are also true in p.	 PGMs, Directed, Conditional Independence
" What is meant by a ""minimal"" I-map?"	 A graph where there is no sub-graph that is still an I-map of the given distribution.	 PGMs, Directed, Conditional Independence
 What does it mean for path P to be d-separated by C?	 Either  P contains chain with node in C. P contains a tent with node in C or P contains collider with node not in C nor its descendant.	 PGMs, Directed, Global Markov
 What are the three types of structures when considering d-separation	 Chain, Tent and Collider.	 PGMs, Directed, d-separation
