 What is another name for directed graphical models?	 Belief networks or Bayesian networks (though they are not necessarily Bayesian).	 PGMs, Directed
 What is a DAG?	 Directed Acyclic Graph	 PGMs, Directed
 What is the key characteristic of a directed graphical model?	 It's based on a DAG, in which the edges have direction.	 PGMs, Directed
 What is meant by topological ordering in a DAG?	 Parents come before children.	 PGMs, Directed, Ordering
 What is the ordered Markov property in a DAG?	 Each node is conditionally independent of its predecessors (except its parents) given its parents.	 PGMs, Directed, Ordering
 How is the joint distribution factored in a DAG according to the ordered Markov property?	 p(x1 N) = product from i=1 to N of p(xi|x_pa(i)) where x_pa(i) represents the parents of i	 PGMs, Directed, Joint Distribution
 What is a Conditional Probability Table (CPT) ?	 A table that defines a distribution over a variable given other variables. Commonly used in discrete random variables.	 PGMs, Directed, CPT
 What is a first order Markov chain?	 Each state is only dependent on the previous state.	 PGMs, Markov Chain
 What is a second order Markov chain?	 Each state is dependent on two previous states.	 PGMs, Markov Chain
" What is the ""explaining away"" effect?"	 When observing a common child makes two parent nodes conditionally dependent, which were independent a priori	 PGMs, Directed, Explaining Away
 What is another name for the explaining away effect?	 Berkson's paradox or inter-causal reasoning	 PGMs, Directed, Explaining Away
 What are Sigmoid Belief Nets?	 Hierarchical latent variable models with binary latent variables and logistic regression latent CPDs	 PGMs, Directed, Sigmoid
 In terms of probability models, when do you have a sigmoid belief net?	 When you have binary latent variables and the latent CPDs are logistic regression models.	 PGMs, Directed, Sigmoid
 What are the key elements when describing Conditional Independece in PGMs?	 X_A || X_B | X_C	 PGMs, Directed, Conditional Independence
 What does it mean when we say that variables X_A and X_B are conditionally independent given X_C?	 Knowing X_C renders X_A and X_B unrelated.	 PGMs, Directed, Conditional Independence
 What does an I-map represent?	 A graph encoding the conditional independence statements in a distribution.	 PGMs, Directed, Conditional Independence
 What does it mean if a graph G is an I-map of a distribution p?	 I(G) ⊆ I(p), that is, all the CI statements encoded by the graph G are also true in p.	 PGMs, Directed, Conditional Independence
" What is meant by a ""minimal"" I-map?"	 A graph where there is no sub-graph that is still an I-map of the given distribution.	 PGMs, Directed, Conditional Independence
 What does it mean for path P to be d-separated by C?	 Either  P contains chain with node in C. P contains a tent with node in C or P contains collider with node not in C nor its descendant.	 PGMs, Directed, Global Markov
 What are the three types of structures when considering d-separation	 Chain, Tent and Collider.	 PGMs, Directed, d-separation
 How is a chain structure defined in a DAG with regards to CI?	 Observing a node separates its predecessor and successor.	 PGMs, Directed, d-separation
 How is a tent (fork) structure defined in a DAG with regards to CI?	 Observing a root node separates its children nodes.	 PGMs, Directed, d-separation
 How is a collider structure defined in a DAG with regards to CI?	 Observing a common child node makes its parent nodes dependent.	 PGMs, Directed, d-separation
 How are conditional independencies related to d-separation in a DAG?	 X_A || X_B | X_C <=> A is d-separated from B given C.	 PGMs, Directed, d-separation
" What does a ""Markov Blanket"" of node i mean?"	 It is the smallest set of nodes that render node i independent of the rest of the graph.	 PGMs, Directed, Markov Blanket
 What is the Markov Blanket of a node i?	 mb(i) = ch(i) U pa(i) U copa(i) (children, parents and co-parents of the node).	 PGMs, Directed, Markov Blanket
 What does local Markov property for DAGs mean?	 A node is conditionally independent of non-descendants given its parents.	 PGMs, Directed, Markov Properties
" What does the ""ordered Markov property"" mean for a DAG?"	 Each node is conditionally independent of its predecessors (except parents) given its parents.	 PGMs, Directed, Markov Properties
 What is the factorization property?	 Any distribution that is Markov to a graph, can be factored in terms of the Conditional Probability Distributions for every node.	 PGMs, Directed, Markov Properties
 What is ancestral sampling?	 A sampling method where you sample parents before children using the topological ordering in a DAG.	 PGMs, Directed, Sampling
" What does ""inference"" refer to in the context of PGMs?"	 Computing a posterior distribution over query nodes given observed values and marginalized over nuisance variables.	 PGMs, Directed, Inference
" What is a ""posterior marginal"" of node i?"	 Posterior distribution of node i given observed evidence.	 PGMs, Directed, Inference
 What is parameter learning in PGMs?	 estimating the parameters of a model given the data and its distribution	 PGMs, Directed, Learning
